title,image,link,info,score
小偷家族,https://img3.doubanio.com/view/subject/m/public/s29952694.jpg,https://book.douban.com/subject/30374817/,[日] 是枝裕和 / 赵仲明 / 北京联合出版公司 / 2019-1 / 45.00,8.6
挪威的森林,https://img1.doubanio.com/view/subject/m/public/s27312538.jpg,https://book.douban.com/subject/2159042/,[日] 村上春树 / 林少华 / 上海译文出版社 / 2007-7 / 23.00元,8.5
有呀有呀书店,https://img3.doubanio.com/view/subject/m/public/s29841866.jpg,https://book.douban.com/subject/30288379/,[日]吉竹伸介 / 任青云 / 中信出版社 / 2018-8-1 / 68.00元,9.1
拍电影时我在想的事,https://img1.doubanio.com/view/subject/m/public/s29864848.jpg,https://book.douban.com/subject/30304849/,[日]是枝裕和 / 褚方叶 / 南海出版公司 / 2018-9 / 88.00,9.0
山茶文具店,https://img3.doubanio.com/view/subject/m/public/s29707472.jpg,https://book.douban.com/subject/28656614/,[日] 小川糸 / 王蕴洁 / 湖南文艺出版社 / 2018-3 / 49.80,8.3
情书,https://img3.doubanio.com/view/subject/m/public/s1127135.jpg,https://book.douban.com/subject/1080370/,[日] 岩井俊二 / 穆晓芳 / 天津人民出版社 / 2004-7 / 18.00元,8.6
放学后,https://img3.doubanio.com/view/subject/m/public/s4066862.jpg,https://book.douban.com/subject/4074636/,[日]东野圭吾 / 赵峻 / 南海出版公司 / 2010-1 / 20.00,7.6
罗生门,https://img1.doubanio.com/view/subject/m/public/s3435158.jpg,https://book.douban.com/subject/3136271/,[日]芥川龙之介 / 林少华 / 上海译文出版社 / 2008-7 / 12.00元,8.7
当我谈跑步时我谈些什么,https://img3.doubanio.com/view/subject/m/public/s3507580.jpg,https://book.douban.com/subject/3369600/,[日] 村上春树 / 施小炜 / 南海出版公司 / 2009-1 / 25.00,8.1
三体,https://img1.doubanio.com/view/subject/m/public/s2768378.jpg,https://book.douban.com/subject/2567698/,刘慈欣 / 重庆出版社 / 2008-1 / 23.00,8.8
活着,https://img3.doubanio.com/view/subject/m/public/s29053580.jpg,https://book.douban.com/subject/4913064/,余华 / 作家出版社 / 2012-8-1 / 20.00元,9.3
看见,https://img3.doubanio.com/view/subject/m/public/s24468373.jpg,https://book.douban.com/subject/20427187/,柴静 / 广西师范大学出版社 / 2013-1-1 / 39.80元,8.8
红楼梦,https://img1.doubanio.com/view/subject/m/public/s1070959.jpg,https://book.douban.com/subject/1007305/,[清] 曹雪芹 著、高鹗 续 / 人民文学出版社 / 1996-12 / 59.70元,9.6
流浪地球,https://img3.doubanio.com/view/subject/m/public/s5961934.jpg,https://book.douban.com/subject/3266609/,刘慈欣 / 湖北长江出版集团，长江文艺出版社 / 2008-11 / 28.00元,8.6
三体Ⅲ,https://img3.doubanio.com/view/subject/m/public/s26012674.jpg,https://book.douban.com/subject/5363767/,刘慈欣 / 重庆出版社 / 2010-11 / 38.00元,9.2
三体Ⅱ,https://img3.doubanio.com/view/subject/m/public/s3078482.jpg,https://book.douban.com/subject/3066477/,刘慈欣 / 重庆出版社 / 2008-5 / 32.00,9.3
鱼翅与花椒,https://img3.doubanio.com/view/subject/m/public/s29767895.jpg,https://book.douban.com/subject/30183051/,[英]扶霞·邓洛普 / 何雨珈 / 上海译文出版社 / 2018-7 / 48.00元,8.3
天才在左 疯子在右,https://img1.doubanio.com/view/subject/m/public/s6340977.jpg,https://book.douban.com/subject/4242172/,高铭 / 武汉大学出版社 / 2010-2 / 29.80元,8.1
乌合之众,https://img3.doubanio.com/view/subject/m/public/s1988393.jpg,https://book.douban.com/subject/1012611/,（法）勒庞 / 冯克利 / 中央编译出版社 / 2011-5-1 / 16.00元,8.2
少有人走的路,https://img3.doubanio.com/view/subject/m/public/s2144391.jpg,https://book.douban.com/subject/1775691/,[美] M·斯科特·派克 / 于海生 / 吉林文史出版社 / 2007-1 / 26.00元,8.4
非暴力沟通,https://img1.doubanio.com/view/subject/m/public/s9346487.jpg,https://book.douban.com/subject/3533221/,[美] 马歇尔·卢森堡 / 阮胤华 / 华夏出版社 / 2009-1 / 29.00元,8.4
原生家庭,https://img1.doubanio.com/view/subject/m/public/s29746097.jpg,https://book.douban.com/subject/30199434/,（美）苏珊·福沃德博士、（美）克雷格·巴克 / 黄姝、王婷 / 北京时代华文书局│阳光博客 / 2018-8 / 58.00,8.3
社会心理学,https://img3.doubanio.com/view/subject/m/public/s1670932.jpg,https://book.douban.com/subject/1476651/,[美] 戴维·迈尔斯 / 张智勇、乐国安、侯玉波 等 / 人民邮电出版社 / 2006-1 / 68.00元,9.0
亲密关系（第5版）,https://img1.doubanio.com/view/subject/m/public/s4643548.jpg,https://book.douban.com/subject/5952488/,罗兰•米勒 (Rowland Miller)、丹尼尔•珀尔曼 (Daniel Perlman) / 王伟平 / 人民邮电出版社 / 2011-1-1 / 68.00元,9.0
自控力,https://img3.doubanio.com/view/subject/m/public/s10685385.jpg,https://book.douban.com/subject/10786473/,[美]  凯利·麦格尼格尔 / 王岑卉 / 文化发展出版社(原印刷工业出版社) / 2012-8 / 39.80元,8.3
影响力,https://img3.doubanio.com/view/subject/m/public/s1657785.jpg,https://book.douban.com/subject/1786387/,[美] 罗伯特·西奥迪尼 / 陈叙 / 中国人民大学出版社 / 2006-5 / 45.00元,8.6
